Generation,Population,Slow_Count,Fast_Count,Mut_Loc,Mutation,Prod_rt ,Min 
386,popB,56,64,59,100,1.234,1
387,popB,56,64,115,1,1.234,1
388,popB,55,65,14,100,1.232,1
389,popB,55,65,6,100,1.232,1
390,popB,54,66,101,100,1.389,1
391,popB,54,66,11,100,1.389,1
392,popB,55,65,112,1,1.543,1
393,popB,56,64,113,1,1.421,1
394,popB,55,65,105,100,1.213,1
395,popB,56,64,61,1,1.298,1
396,popB,56,64,10,1,1.298,1
397,popB,56,64,119,1,1.298,1
398,popA,56,64,0,0,1.298,1
399,popB,56,64,47,100,1.298,1
400,popB,57,63,16,1,1.357,1
401,popB,56,64,39,100,1.356,1
402,popB,55,65,99,100,1.257,1
403,popB,55,65,54,100,1.257,1
404,popB,56,64,68,1,1.317,1
405,popB,57,63,2,1,1.317,1
406,popB,58,62,106,1,1.142,1
407,popB,58,62,56,1,1.142,1
408,popB,59,61,54,1,1.285,1
409,popB,60,60,39,1,1.337,1
410,popB,60,60,110,1,1.337,1
411,popB,60,60,97,1,1.337,1
412,popB,60,60,1,100,1.337,1
413,popB,59,61,102,100,1.404,1
414,popB,60,60,67,1,1.328,1
415,popB,60,60,79,100,1.328,1
416,popB,60,60,43,100,1.328,1
417,popB,59,61,90,100,1.376,1
418,popB,60,60,50,1,1.353,1
419,popB,59,61,64,100,1.337,1
420,popB,59,61,21,100,1.337,1
421,popB,59,61,103,100,1.337,1
422,popB,59,61,1,100,1.337,1
423,popB,59,61,12,100,1.337,1
424,popB,59,61,85,100,1.337,1
425,popB,60,60,94,1,1.367,1
426,popB,60,60,107,1,1.367,1
427,popB,61,59,103,1,1.315,1
428,popB,61,59,55,100,1.315,1
429,popB,61,59,39,1,1.315,1
430,popB,61,59,106,1,1.315,1
431,popB,62,58,34,1,1.441,1
432,popB,61,59,20,100,1.24,1
433,popB,62,58,14,1,1.285,1
434,popB,63,57,53,1,1.297,1
435,popB,63,57,18,100,1.297,1
436,popB,62,58,91,100,1.353,1
437,popB,62,58,28,1,1.353,1
438,popB,63,57,87,1,1.265,1
439,popB,62,58,24,100,1.155,1
440,popB,62,58,5,1,1.155,1
441,popB,62,58,67,1,1.155,1
442,popB,62,58,95,1,1.155,1
443,popB,61,59,103,100,1.277,1
444,popB,61,59,37,1,1.277,1
445,popB,61,59,61,1,1.277,1
446,popB,62,58,7,1,1.215,1
447,popB,63,57,108,1,1.275,1
448,popB,63,57,48,1,1.275,1
449,popB,63,57,21,100,1.275,1
450,popB,64,56,101,1,1.189,1
451,popB,64,56,99,100,1.189,1
452,popB,64,56,50,1,1.189,1
453,popB,64,56,25,100,1.189,1
454,popB,64,56,82,100,1.189,1
455,popB,64,56,71,100,1.189,1
456,popB,64,56,47,100,1.189,1
457,popB,64,56,49,1,1.189,1
458,popB,64,56,103,100,1.189,1
459,popB,64,56,3,100,1.189,1
460,popB,64,56,4,1,1.189,1
461,popB,65,55,24,1,1.367,1
462,popB,65,55,46,1,1.367,1
463,popB,66,54,9,1,1.142,1
464,popB,65,55,33,100,1.174,1
465,popB,64,56,81,100,1.164,1
466,popB,64,56,17,1,1.164,1
467,popB,63,57,94,100,1.201,1
468,popB,63,57,32,1,1.201,1
469,popB,63,57,66,100,1.201,1
470,popB,63,57,114,1,1.201,1
471,popB,63,57,112,1,1.201,1
472,popB,64,56,60,1,1.211,1
473,popB,64,56,9,1,1.211,1
474,popB,64,56,23,100,1.211,1
475,popB,64,56,28,1,1.211,1
476,popB,64,56,12,100,1.211,1
477,popB,65,55,0,1,1.211,1
478,popA,65,55,0,0,1.211,1
479,popB,64,56,14,100,1.197,1
480,popA,64,56,0,0,1.197,1
481,popB,64,56,9,1,1.197,1
482,popB,63,57,7,100,1.213,1
483,popB,64,56,47,1,1.176,1
484,popB,63,57,0,100,1.176,1
485,popB,63,57,34,1,1.176,1
486,popB,63,57,117,100,1.176,1
487,popB,64,56,18,1,1.141,1
488,popB,64,56,62,100,1.141,1
489,popB,64,56,111,100,1.141,1
490,popB,64,56,35,1,1.141,1
491,popB,65,55,12,1,1.154,1
492,popB,65,55,115,1,1.154,1
493,popB,66,54,111,1,0.927,1
494,popB,67,53,55,1,1.11,1
495,popB,66,54,107,100,1.073,1
496,popB,66,54,59,100,1.073,1
497,popB,67,53,57,1,0.953,1
498,popB,66,54,67,100,1.002,1
499,popB,65,55,47,100,1.064,1
500,popB,65,55,28,1,1.064,1
501,popB,65,55,81,100,1.064,1
502,popB,66,54,1,1,1.064,1
503,popB,66,54,54,1,1.064,1
504,popB,66,54,114,1,1.064,1
505,popB,66,54,95,1,1.064,1
506,popB,66,54,80,100,1.064,1
507,popB,65,55,2,100,1.064,1
508,popB,65,55,21,100,1.064,1
509,popB,65,55,45,100,1.064,1
510,popB,66,54,80,1,1.046,1
511,popB,66,54,118,1,1.046,1
512,popB,66,54,50,1,1.046,1
513,popB,65,55,92,100,1.031,1
514,popB,66,54,23,1,1.005,1
515,popB,66,54,99,100,1.005,1
516,popB,65,55,95,100,1.17,1
517,popB,65,55,41,1,1.17,1
518,popB,65,55,60,1,1.17,1
519,popA,65,55,0,0,1.17,1
520,popB,65,55,111,1,1.17,1
521,popB,65,55,69,1,1.17,1
522,popB,65,55,117,100,1.17,1
523,popB,65,55,40,1,1.17,1
524,popB,66,54,104,1,1.133,1
525,popA,66,54,0,0,1.133,1
526,popB,66,54,52,1,1.133,1
527,popB,66,54,24,1,1.133,1
528,popB,65,55,44,100,1.109,1
529,popB,65,55,113,1,1.109,1
530,popB,64,56,112,100,0.966,1
531,popB,64,56,26,1,0.966,1
532,popB,64,56,30,100,0.966,1
533,popB,63,57,16,100,1.038,1
534,popB,62,58,77,100,1.082,1
535,popB,62,58,49,1,1.082,1
536,popB,62,58,94,100,1.082,1
537,popB,61,59,68,100,1.178,1
538,popA,61,59,0,0,1.178,1
539,popA,61,59,0,0,1.178,1
540,popB,61,59,110,1,1.178,1
541,popB,61,59,15,1,1.178,1
542,popB,62,58,62,1,1.058,1
543,popB,62,58,103,100,1.058,1
544,popB,63,57,88,1,1.051,1
545,popB,62,58,60,100,1.209,1
546,popB,61,59,61,100,1.071,1
547,popB,60,60,50,100,1.181,1
548,popB,61,59,98,1,1.222,1
549,popB,61,59,41,1,1.222,1
550,popA,61,59,0,0,1.222,1
551,popB,62,58,63,1,1.091,1
552,popB,62,58,92,100,1.091,1
553,popB,62,58,82,100,1.091,1
554,popB,62,58,82,100,1.091,1
555,popB,63,57,95,1,1.053,1
556,popB,63,57,109,100,1.053,1
557,popB,63,57,46,1,1.053,1
558,popB,62,58,80,100,1.043,1
559,popB,62,58,22,100,1.043,1
560,popB,62,58,35,1,1.043,1
561,popB,61,59,26,100,1.155,1
562,popB,61,59,32,1,1.155,1
563,popA,61,59,0,0,1.155,1
564,popB,61,59,40,1,1.155,1
565,popB,60,60,96,100,1.102,1
566,popB,60,60,65,1,1.102,1
567,popB,60,60,6,100,1.102,1
568,popB,59,61,110,100,0.985,1
569,popB,60,60,2,1,0.985,1
570,popB,59,61,41,100,1.037,1
571,popB,59,61,38,1,1.037,1
572,popB,58,62,54,100,1.148,1
573,popB,59,61,90,1,1.146,1
574,popB,59,61,113,1,1.146,1
575,popB,59,61,54,100,1.146,1
576,popA,59,61,0,0,1.146,1
577,popB,59,61,86,1,1.146,1
578,popB,60,60,19,1,1.062,1
579,popB,60,60,117,100,1.062,1
580,popB,60,60,91,100,1.062,1
581,popB,60,60,89,1,1.062,1
582,popB,61,59,64,1,1.233,1
583,popB,61,59,56,1,1.233,1
584,popB,61,59,35,1,1.233,1
585,popB,61,59,69,1,1.233,1
586,popB,60,60,100,100,1.197,1
587,popB,60,60,77,100,1.197,1
588,popB,61,59,58,1,1.163,1
589,popB,61,59,119,1,1.163,1
590,popA,61,59,0,0,1.163,1
591,popB,61,59,107,100,1.163,1
592,popB,60,60,18,100,1.23,1
593,popB,60,60,36,100,1.23,1
594,popA,60,60,0,0,1.23,1
595,popA,60,60,0,0,1.23,1
596,popA,60,60,0,0,1.23,1
597,popB,61,59,33,1,1.151,1
598,popB,61,59,86,1,1.151,1
599,popB,60,60,88,100,1.048,1
600,popB,60,60,18,100,1.048,1
601,popB,59,61,15,100,1.169,1
602,popA,59,61,0,0,1.169,1
603,popB,59,61,90,1,1.169,1
604,popB,59,61,11,100,1.169,1
605,popA,59,61,0,0,1.169,1
606,popA,59,61,0,0,1.169,1
607,popB,59,61,119,1,1.169,1
608,popB,58,62,97,100,1.016,1
609,popB,59,61,18,1,0.956,1
610,popB,58,62,5,100,0.956,1
611,popB,57,63,32,100,1.11,1
612,popB,56,64,19,100,1.098,1
613,popB,57,63,117,1,1.083,1
614,popB,58,62,77,1,1.128,1
615,popB,58,62,113,1,1.128,1
616,popB,57,63,18,100,1.021,1
617,popB,58,62,81,1,1.026,1
618,popB,59,61,60,1,1.056,1
619,popB,59,61,66,100,1.056,1
620,popB,59,61,101,1,1.056,1
621,popB,60,60,59,1,0.995,1
622,popB,59,61,2,100,0.995,1
623,popB,58,62,74,100,1.035,1
624,popB,57,63,84,100,1.027,1
625,popB,56,64,48,100,1.091,1
626,popA,56,64,0,0,1.091,1
627,popB,56,64,80,100,1.091,1
628,popB,57,63,15,1,1.17,1
629,popB,58,62,3,1,1.17,1
630,popB,58,62,62,1,1.17,1
631,popB,58,62,29,100,1.17,1
632,popB,58,62,55,1,1.17,1
633,popB,58,62,29,100,1.17,1
634,popA,58,62,0,0,1.17,1
635,popB,59,61,74,1,1.088,1
636,popB,58,62,119,100,1.08,1
637,popA,58,62,0,0,1.08,1
638,popB,57,63,15,100,1.07,1
639,popB,57,63,97,100,1.07,1
640,popB,57,63,69,1,1.07,1
641,popB,56,64,78,100,1.042,1
642,popB,57,63,91,1,1.08,1
643,popB,57,63,30,100,1.08,1
644,popB,57,63,117,1,1.08,1
645,popB,58,62,47,1,1.04,1
646,popB,58,62,47,1,1.04,1
647,popB,58,62,36,100,1.04,1
648,popB,59,61,85,1,1.114,1
649,popB,59,61,15,100,1.114,1
650,popB,58,62,65,100,1.043,1
651,popB,59,61,41,1,1.015,1
652,popB,59,61,70,100,1.015,1
653,popB,60,60,94,1,1.037,1
654,popB,60,60,7,100,1.037,1
655,popB,60,60,68,100,1.037,1
656,popB,60,60,20,100,1.037,1
657,popB,60,60,107,100,1.037,1
658,popA,60,60,0,0,1.037,1
659,popB,61,59,88,1,1.075,1
660,popB,62,58,71,1,1.086,1
661,popB,62,58,97,100,1.086,1
662,popB,62,58,72,100,1.086,1
663,popB,63,57,42,1,1.122,1
664,popB,62,58,90,100,1.067,1
665,popB,62,58,34,1,1.067,1
666,popB,62,58,69,1,1.067,1
667,popB,62,58,103,100,1.067,1
668,popB,61,59,46,100,1.101,1
669,popB,60,60,74,100,1.056,1
670,popB,60,60,81,1,1.056,1
671,popB,60,60,7,100,1.056,1
672,popB,60,60,99,100,1.056,1
673,popB,60,60,107,100,1.056,1
674,popA,60,60,0,0,1.056,1
675,popB,60,60,73,100,1.056,1
676,popB,61,59,0,1,1.056,1
677,popB,62,58,27,1,1.162,1
678,popB,63,57,51,1,1.039,1
679,popB,63,57,114,1,1.039,1
680,popB,62,58,41,100,1.067,1
681,popB,62,58,18,100,1.067,1
682,popB,62,58,0,1,1.067,1
683,popB,62,58,42,1,1.067,1
684,popB,62,58,119,100,1.067,1
685,popB,62,58,98,1,1.067,1
686,popB,61,59,17,100,1.129,1
687,popB,61,59,66,100,1.129,1
688,popB,60,60,86,100,1.135,1
689,popB,60,60,89,1,1.135,1
690,popB,61,59,79,1,1.102,1
691,popB,61,59,74,100,1.102,1
692,popB,61,59,90,100,1.102,1
693,popB,60,60,24,100,1.078,1
694,popB,60,60,57,1,1.078,1
695,popB,59,61,37,100,1.021,1
696,popB,59,61,106,1,1.021,1
697,popB,58,62,31,100,1.108,1
698,popA,58,62,0,0,1.108,1
699,popB,57,63,27,100,1.082,1
700,popB,58,62,18,1,1.004,1
701,popB,58,62,21,100,1.004,1
702,popB,57,63,47,100,1.004,1
703,popB,57,63,116,100,1.004,1
704,popB,57,63,6,100,1.004,1
705,popB,57,63,65,100,1.004,1
706,popB,56,64,60,100,1.198,1
707,popB,57,63,2,1,1.198,1
708,popB,58,62,80,1,1.101,1
709,popB,57,63,106,100,1.098,1
710,popB,57,63,1,1,1.098,1
711,popA,57,63,0,0,1.098,1
712,popB,56,64,91,100,0.976,1
713,popB,55,65,81,100,1.184,1
714,popB,55,65,73,100,1.184,1
715,popB,55,65,11,100,1.184,1
716,popB,55,65,118,1,1.184,1
717,popB,56,64,50,1,1.087,1
718,popB,56,64,17,100,1.087,1
719,popB,57,63,26,1,1.052,1
720,popB,56,64,88,100,1.073,1
721,popB,56,64,58,1,1.073,1
722,popB,56,64,52,1,1.073,1
723,popB,56,64,2,1,1.073,1
724,popA,56,64,0,0,1.073,1
725,popB,56,64,14,100,1.073,1
726,popB,57,63,73,1,1.037,1
727,popB,57,63,43,100,1.037,1
728,popB,57,63,69,1,1.037,1
729,popB,57,63,100,100,1.037,1
730,popB,57,63,36,100,1.037,1
731,popB,58,62,109,1,1.112,1
